Review ID,review,Annotator1,Annotator2
,I don't think this study would add anything to either theory or practice,2,2
B11bwYgfM_R2,"Learning incoherent sparse and low rank patterns from multiple tasks ( KDD ) In particular , [ 5 ] assumes that the combined weight matrix ( for all the tasks ) follows the robust PCA model .",3,3
B13EC5u6W_R2,This looks very noisy and non interesting .,3,3
,"presumptuous, ignorant and downright dangerous.",2,1
,"Although this study, an original work and repetition of earlier feature of these studies is similar. Writing language is quite a lot of grammatical errors",4,4
,"There is essentially nothing unexpected, although the central observation of [..] is an unexpectedly large and important effect.",4,4
B18WgG-CZ_R1,I feel the motivation for this is lacking .,2,2
B18WgG-CZ_R2,"I disagree with the response , though , that the authors can lean on other papers to help fill in the ablationevery paper in this area uses subtly different configurations .",2,2
,This is (I'm sorry) utter nonsense.,1,2
,"The paper is not well written. It most presents itself as a long line of known definitions and theorems,but I am no expert in these matters.",2,2
B16yEqkCZ_R3,"In fact , it is not difficult to design examples for which the proposed algorithm would be far from optimal .",3,3
B1CEaMbR-_R1,Therefore the impact or actual contribution to the ICLR community is very limited .,3,3
rywHCPkAW_R2,"Finally , I would be glad to see the effect of your technique on algorithms like TRPO and PPO which require a stochastic policy for exploration , and where I believe that the role of the KL divergence bound is mostly to prevent the level of stochasticity from collasping too quickly .",4,4
B1CNpYg0-_R3,"The strength of this paper is that it both gives a more systematic framework for and builds on existing ideas ( character based models , using dictionary definitions ) to implement them as part of a model trained on the end task .",4,5
,"Written in parts like an experience track paper, minus the experience.",2,1
B1CQGfZ0b_R1,"The proposed approach is interesting , but I feel that the experimental section does not serve to show its merits for several reasons .",2,2
B1D6ty-A-_R1,"I do want to note my other concerns : I suspect the theoretical results obtained here are somewhat restricted to the least squares , autoencoder loss .",2,2
B16yEqkCZ_R3,A potential weakness with the paper is that the proposed strategies appear to be simple to improve upon and that they have not convinced me that they would yield good performance on a wider set of problems .,3,3
B14uJzW0b_R1,"Another issue is the fact that , on my humble opinion , the main text looks like a long proof .",5,5
,This submission looks more like an advertising booklet rather than a research paper.,2,2
,Based on theoretical considerations I don't see a reason to perform these experiments.,2,2
