Venue,Review ID,review,Tone,Review URL,,,Venue,Review ID,review,Tone,Review URL,,,Venue,Review ID,review,Tone,Review URL
Publons,DOM-19-1315-OP.R1,None,3,https://publons.com/wos-op/review/7597743,,,,,,,,,,,,,,
Publons,DOM-21-0017-BR.R1,"The authors have indeed confirmed the results obtained in this sub-study are exploratory at their best, thus confirming my initial concerns.",4,https://publons.com/wos-op/review/10675916,,,,,,,,,,,,,,
 ShitMyReviews,,In order to be able to publish this manuscript it need [sic] to be rewritten in the form of a scientific article,3,,,,,,,,,,,,,,,
 ShitMyReviews,,I started to review this but could not get much past the abstract,2,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R3,More details should be provided on the results presented in table 3 .,3,,,,,,,,,,,,,,,
ICLR,rkeDJ04Mf_R3,I believe this paper to be borderline .,2,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R1,The paper leverages a novel method in determining the coefficient of relative entropy .,3,,,,,,,,,,,,,,,
ICLR,B13njo1R-_R2,"- Although the main focus of this paper is on continual learning of related tasks , the authors acknowledge this limitation and convincingly argue for the chosen task domain .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,"The opinion expressed in the MS is highly biased and patriotically motivated, and is not suitable for publication in this journal.",5,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R3,I believe the overall contribution is not sufficient for ICLR .,2,,,,,,,,,,,,,,,
ICLR,B1KJJf-R-_R1,It would be good to possibly add another encoder network to see if encoding the examples as well help improve the accuracy .,3,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R1,"Many of the methods make assumptions for the theoretical analysis - in practice , some , if not most of them work well even when the assumptions do not hold .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"There is an over-reliance on sophisticated statistics at the expense of good old fashioned, scientific thought",3,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R1,Pros : - The paper is well written and clear .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,Some papers are a pleasure to read. This is not one of them.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"I hope you update soon, because I really wanna know what happens next, and how far you are willing to take the potential deconstruction.",4,,,,,,,,,,,,,,,
 ShitMyReviews,,"Like Dr Who's Tardis, the inside of the paper is bigger than the outside.",1,,,,,,,,,,,,,,,
 ShitMyReviews,,(although I admit that here is a possibility they might turn out to be correct in that they are guessing right),2,,,,,,,,,,,,,,,
ICLR,ryserbZR-_R2,"Results are not always too impressive , but authors seem intent on making them useful for pathogists in practice ( an intention that is always worth the effort ) .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,This paper is so bad I cannot even reject it!,2,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,"So , if no fork module is required for a question , the model architecture is effectively same as IEP ?",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The supportive tone of this review... took some effort.,2,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R1,"References : - Socher , R . , Lin , C . , Ng , A.Y . , Manning , C.D . Parsing Natural Scenes and Natural Language with Recursive Neural Networks .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The map on the article is entirely unscientific. The data itself is also very dubious.,4,,,,,,,,,,,,,,,
ICLR,B18WgG-CZ_R2,This paper isnt especially novel .,4,,,,,,,,,,,,,,,
NIPS,403,"The current advances in neural networks have amazing experimental results but they lack good theoretical understanding. This paper is another attempt in linking some neural networks to methods of statistical physics (see e.g. also âThe Loss Surfaces of Multilayer Networksâ, Choromanska et al., AISTATS 2015).  The paper has several very interesting ideas, derivations, and insights, even though the final results are not overwhelming.",4,,,,,,,,,,,,,,,
 ShitMyReviews,,The results are new but were predictable.,3,,,,,,,,,,,,,,,
 ShitMyReviews,,The project is lack of interest.,3,,,,,,,,,,,,,,,
ICLR,B1D6ty-A-_R2,The authors seem to use the idea that solving a GLM problem is a quasi convex optimization problem .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,It is always rather pleasant to recommend that a paper be rejected.,3,,,,,,,,,,,,,,,
ICLR,B1IDRdeCW_R2,"Besides , [ a ] has also shown a carefully designed post processing binary network can already give very good performance .",3,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R2,"Authors claim that quote "" As for the determinant of the covariance matrix of Gaussian Process , we cannot easily evaluate or derive its gradient , so we do not include it in our computation . """,3,,,,,,,,,,,,,,,
ICLR,SySaJ0xCZ_R3,"Misc : Tables 3 and 4 would be easier to parse if resources were simply reported in terms of total GPU hours . """,4,,,,,,,,,,,,,,,
ICLR,HJLPel-CW_R3,"Style transfer has two key components , the first is how well it is transferred to the target style ; second is how well it preserves the original contents .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"This is an outline of a paper, and not a fully-thought, well-organized, thoroughly-discussed paper. Maybe because it's a graduate student conference the author decided not to put any time into writing a quality paper that would be accepted in an academic journal.",2,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R2,"Figure 1 is hard to read , I suggest the authors try to come up with a more legible plot .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The author gives the impression of having had some mathematical training.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"The abstract proposes the identification of requirements of a future digital infrastructure based on intelligent transportation systems (whatever this is). However, this aim is not fulfilled by the paper'",4,,,,,,,,,,,,,,,
 ShitMyReviews,,My summary assessment of the paper is as follows:Introduction: PoorBackground: PoorMethods: PoorResults: PoorDiscussion: PoorConclusions: Poor Overall assessment: PoorRecommendation: RejectFurther Comments: Why was this submitted to a journal?,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"It is difficult to see the merits of this proposal, and it is doubtful whether the author has the necessary command of primary and secondary sources to contribute anything to this area of research",4,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,"In Figure 4 , why are the LSTM32/128 curves different for Length 10 and Length 30 till subproblem index 10 ?",3,,,,,,,,,,,,,,,
 ShitMyReviews,,(on a computer simulation paper) 'Did you use software?',2,,,,,,,,,,,,,,,
 ShitMyReviews,,This book has more mistakes than a hound has fleas,3,,,,,,,,,,,,,,,
Publons,VMS3-2021-Jan-0035,"The manuscript is well witten, with minor grammatical mistakes which can be improved by a thorough proofreading.  
 I could not find the final version of the questionnaire survey, which if the author can add will be appreciated.  
 Overall a well planned and relevant manuscript.",4,https://publons.com/wos-op/review/11060990,,,,,,,,,,,,,,
