Venue,Review ID,review,N/C,Tone,Annotated By,Date,Journal name,ESI,Article title,Review URL
ICLR,B11bwYgfM_R1,Please refer to the paper Discovering structure in multiple learning tasks : The TC algorithm published in ICML 1996 .,4,5,Deap,16-11-2022,,,,
,B11bwYgfM_R1,"One issue of the use of cross task transfer performance to measure task relations is that it ignores the negative correlations between tasks , which is useful for learning from multiple tasks .",5,3,Deap,16-11-2022,,,,
,B11bwYgfM_R2,"Learning incoherent sparse and low rank patterns from multiple tasks ( KDD ) In particular , [ 5 ] assumes that the combined weight matrix ( for all the tasks ) follows the robust PCA model .",3,3,Deap,16-11-2022,,,,
,B11bwYgfM_R2,"However , a disadvantage of the proposed method is that it is a two step approach ( first perform task clustering , then re learn the cluster weights ) , while [ 5 ] is not .",3,3,Deap,16-11-2022,,,,
,B11bwYgfM_R2,- Comparison with existing clustered MTL methods mentioned above are missing .,4,3,Deap,16-11-2022,,,,
,B11bwYgfM_R2,"- As mentioned above , the proposed method can be computationally expensive ( when used for MTL ) , but no timing results are reported .",4,3,Deap,16-11-2022,,,,
,B11bwYgfM_R3,"Prior techniques which can address some of these aspects do not necessarily work with deep learning , which is a key focus of the paper .",3,3,Deap,16-11-2022,,,,
,B11bwYgfM_R3,"I think there are some interesting ideas in this paper , and the use of matrix completion techniques to deal with a large number of tasks is nice .",3,4,Deap,16-11-2022,,,,
,B11bwYgfM_R3,But I believe there are important drawbacks in the framing and basic methodology and evaluation which make the paper unfit for publication in its current form .,3,3,Deap,16-11-2022,,,,
,B11bwYgfM_R3,The pairwise similarity measure appears to be one that might have a high false negative rate .,3,3,Deap,16-11-2022,,,,
,B11bwYgfM_R3,I do not see how you apply the model from task i to task j when the two have different output spaces .,4,2,Deap,16-11-2022,,,,
,B11bwYgfM_R3,"Since this is a major motivation of the paper , I actually do not see how the setup makes sense !",2,1,Deap,16-11-2022,,,,
,B11bwYgfM_R3,The inducing of edges in the Y matrix by comparing to a mean and standard deviation is completely baseless .,4,2,Deap,16-11-2022,,,,
,B11bwYgfM_R3,"Without good reasoning from the authors , I see no reason why the entries in the row of a matrix should have a normal like distribution .",2,2,Deap,16-11-2022,,,,
,B11bwYgfM_R3,"In this case , the means are standard deviations do not even make sense to me .",2,2,Deap,16-11-2022,,,,
